"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2019-02-06,2019,2,-19.89,-71.14,37,5,"5.0 a 5.9","Intermedio",1,0,"Tarapacá","Región más cercana","Norte","region_15"
2018-07-05,2018,7,-36.47,-73.24,11,4,"4.0 a 4.9","Superficial",0,0,"Biobío","Región más cercana","Sur","region_6"
2018-12-21,2018,12,-21.05,-68.94,103,4.6,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-11,2019,9,-18.11,-70.13,71,4.5,"4.0 a 4.9","Profundo",0,0,"Arica y Parinacota","Región más cercana","Norte","region_3"
2019-02-07,2019,2,-37.24,-72.78,56,4.3,"4.0 a 4.9","Intermedio",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2018-02-08,2018,2,-37.45,-74.22,32,5.1,"5.0 a 5.9","Intermedio",1,0,"Biobío","Región más cercana","Sur","region_6"
2018-10-26,2018,10,-35.64,-73.1,33,4.5,"4.0 a 4.9","Intermedio",0,0,"Maule","Región más cercana","Centro","region_12"
2018-12-10,2018,12,-19.13,-70.42,30,4,"4.0 a 4.9","Intermedio",0,0,"Arica y Parinacota","Región más cercana","Norte","region_3"
2018-10-22,2018,10,-20.55,-69.09,100,4.1,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-30,2019,9,-22.19,-68.82,116,5.6,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2018-07-03,2018,7,-37.55,-73,25,4.4,"4.0 a 4.9","Superficial",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2019-09-07,2019,9,-19.77,-69.29,94,4.1,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-29,2019,9,-35.47,-73.18,31,6.6,"6.0 o más","Intermedio",1,1,"Maule","Región más cercana","Centro","region_12"
2019-03-14,2019,3,-20.27,-69.15,114,4.1,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-06-02,2019,6,-23.67,-69.36,86,4.5,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2018-08-03,2018,8,-37.53,-73.83,26,4.1,"4.0 a 4.9","Superficial",0,0,"Biobío","Región más cercana","Sur","region_6"
2019-08-01,2019,8,-34.2,-72.19,18,4.6,"4.0 a 4.9","Superficial",0,0,"O'Higgins","Región más cercana","Centro","region_8"
